Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Does Warm-Up Training in a Virtual Reality Simulator Improve Surgical Performance? A Prospective Randomized Analysis,"da Cruz, J. A. S.; dos Reis, S. T.; Cunha Frati, R. M.; Duarte, R. J.; Nguyen, H.; Srougi, M.; Passerotti, C. C.","Introduction Virtual reality surgical simulators (VRSS) have been showing themselves as a valuable tool in laparoscopy training and education. Taking in consideration the effectiveness of the VRSS, new uses for this tool have been purposed. In sports, warming up before exercise clearly shows benefit in performance. It is hypothesized that warming up in the VRSS before going to the operating room may show benefit in surgical performance. Objective Verify whether there is benefit in surgical performance with preoperatory warm-up using a VRSS. Materials and Methods A total of 20 medical students with basic knowledge in laparoscopy were divided in 2 groups (I and II). Group I performed a laparoscopic cholecystectomy in a porcine model. Group II performed preoperative warm-up in a VRSS and then performed a laparoscopic cholecystectomy in a porcine model. The performance between both groups was compared regarding quantitative parameters (time for dissection of the gallbladder pedicle, time for clipping the pedicle, time for cutting the pedicle, time for gallbladder removal, total operative time, and aspirated blood loss) and qualitative parameters (depth perception, bimanual dexterity, efficiency, tissue handling, and autonomy) based on a previously validated score system, in which the higher the score, the better the result. Data were analyzed with level of significance of 5%. Results The group that underwent preoperative warm-up (group II) showed significantly superior results as to the time for dissection of the gallbladder pedicle (11.91 +/- 9.85 vs. 4.52 +/- 2.89 min, p = 0.012), time for clipping the pedicle (5.51 +/- 2.36 vs. 2.89 +/- 2.76 min, p = 0.004), time for cutting the pedicle (1.84 +/- 0.7 vs. 1.13 +/- 0.51, p = 0.019), aspirated blood loss (171 +/- 112 vs. 57 +/- 27.8 ml, p = 0.006), depth perception (4.5 +/- 0.7 vs. 3.3 +/- 0.67, p = 0.004), bianual dexterity (4.2 +/- 0.78 vs. 3.3 +/- 0.67, p = 0.004), tissue handling (4.2 +/- 0.91 vs. 3.6 +/- 0.66, p = 0.012), and autonomy (4.9 +/- 0.31 vs. 3.6 +/- 0.96, p = 0.028). There was no difference in time for gallbladder removal (11.58 +/- 4.31 vs. 15.08 +/- 4.51 min, p = 0.096), total operative time (30.8 +/- 11.07 vs. 25.60 +/- 5.10 min, p = 0.188), and efficiency (4 +/- 0.66 vs. 3.6 +/- 0.69, p = 0.320). Conclusion The practice of preoperative warm-up training seems to benefit surgical performance even in subject with mild laparoscopic experience. Copyright © 2016 Association of Program Directors in Surgery",2016,1-Nov,Journal of Surgical Education,73(6),,974-978,610625175,,,#1118,daCruz 2016,,
Augmenting the training space of an epidural needle insertion simulator with HoloLens,"da Silva, D.; Costa, C. B.; da Silva, N. A.; Ventura, I.; Leite, F. P.; Lopes, D. S.","The goal of this study is to explore the potential of the Optical See-Through Augmented Reality (OST-AR) in the training of median and paramedian epidural anaesthesia administration. To this end, we propose EpiduralLens, an epidural needle insertion simulator that augments the training space by resorting to a dummy, a HoloLens, an AR target, 3D sound feedback, and voice commands. The proposed system projects relevant 3D anatomical information and visual guides that are placed on and around the dummy, which are complemented with aural feedback that guides the instruction process. EpiduralLens was evaluated by 6 anaesthesiologists. The results of the formal evaluation sessions indicate that our prototype had high acceptability by the experts, verifying that combining an aural interface with 3D visual interface is a useful way to aid immersion and improve the learnability of trainees. Moreover, the participants showed interest in using the application in future sessions as a training aid for median and paramedian epidural anaesthesia administration. Copyright © 2021 Informa UK Limited, trading as Taylor & Francis Group.",2022,,Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,10(3),,260-265,2014513287,,,#1121,daSilva 2022,,
Examining the benefits of extended reality in neurosurgery: A systematic review,"Dadario, N. B.; Quinoa, T.; Khatri, D.; Boockvar, J.; Langer, D.; D'Amico, R. S.","While well-established in other surgical subspecialties, the benefits of extended reality, consisting of virtual reality (VR), augmented reality (AR), and mixed reality (MR) technologies, remains underexplored in neurosurgery despite its increasing utilization. To address this gap, we conducted a systematic review of the effects of extended reality (XR) in neurosurgery with an emphasis on the perioperative period, to provide a guide for future clinical optimization. Seven primary electronic databases were screened following guidelines outlined by PRISMA and the Institute of Medicine. Reported data related to outcomes in the perioperative period and resident training were all examined, and a focused analysis of studies reporting controlled, clinical outcomes was completed. After removal of duplicates, 2548 studies were screened with 116 studies reporting measurable effects of XR in neurosurgery. The majority (82%) included cranial based applications related to tumor surgery with 34% showing improved resection rates and functional outcomes. A rise in high-quality studies was identified from 2017 to 2020 compared to all previous years (p = 0.004). Primary users of the technology were: 56% neurosurgeon (n = 65), 28% residents (n = 33) and 5% patients (n = 6). A final synthesis was conducted on 10 controlled studies reporting patient outcomes. XR technologies have demonstrated benefits in preoperative planning and multimodal neuronavigation especially for tumor surgery. However, few studies have reported patient outcomes in a controlled design demonstrating a need for higher quality data. XR platforms offer several advantages to improve patient outcomes and specifically, the patient experience for neurosurgery. Copyright © 2021 Elsevier Ltd",2021,December,Journal of Clinical Neuroscience,94,,41-53,2014954442,,,#1125,Dadario 2021,,
Virtual reality simulator metrics cannot be used to assess competence in ureteronephroscopy and stone removal-a validation study,"Dagnaes-Hansen, J.; Konge, L.; Andreassen, K. H.; Hansen, R. B.","Objective: The growing use of simulation-based training makes it necessary to develop efficient training programs in order to ensure optimal use of time and resources. Our aim was to develop and gather validity evidence for a simulation-based test in ureteronephroscopy and set a pass/fail standard for the test that will allow future mastery learning. Design(s): This study is a validation study. A test in ureteronephroscopy and stone removal on the URO MentorTM virtual reality simulator (3D Systems, USA) was developed by two experienced urologists in order to ensure content. Participants with different experience completed three standardized tasks on the simulator and simulator-generated metrics were used as outcome parameters to minimize bias and ensure a fair response process. Result(s): Twenty novices, 15 intermediates, and 8 experienced urologists were included in the study. Validity evidence for internal structure and relationship to other variables was questionable with weak and mostly insignificant correlations across all four metrics (Cronbach's alpha = 0.14, p = 0.15) and across the three modules (Cronbach's alpha = 0.41 (p = 0.02), 0.35 (p = 0.06), 0.10 (p = 0.35), and 0.30 (p = 0.09) for each metric, respectively). It was not possible to establish a pass/fail score for the simulation test with meaningful consequences. Conclusion(s): Our study showed that automatically generated simulator metrics cannot be used as a valid way of assessing competence in ureteronephroscopy. Virtual-reality simulator training could still be a valuable and patient-safe way to practice these skills, but an experienced supervisor is needed to determine when the trainee is ready to continue to supervised practice on patients. Copyright © 2021 Acta Chirurgica Scandinavica Society.",2021,,Scandinavian Journal of Urology,55(5),,399-403,2013333241,,,#1128,Dagnaes-Hansen 2021,,
Development of Visual Educational Materials for Radiation Protection in Computed Tomography,"Daioku, T.; Kobayashi, M.; Oishi, F.","The purpose of this article is to develop a virtual reality (VR) instructional environment that allows users to visually experience scattered radiation intensity distribution during computed tomography (CT) is presented. Scattered radiation generated during a CT scan of the head was measured with an air dosimeter to create a dose profile. A color map showing the spread and intensity of scattered radiation was created from the dose profile and used to generate VR content. Scattered radiation was visually recognized using the developed VR educational environment. From the results obtained, it is clear that with the developed immersive teaching material, it is possible to visually recognize the characteristics of scattered radiation in head CT examinations. Users can look back on their own radiation protection methods through virtual experiences with the developed immersive teaching materials. Copyright © 2021 Association for Radiologic & Imaging Nursing",2021,September,Journal of Radiology Nursing,40(3),,268-274,2012049979,,,#1134,Daioku 2021,,
Comparing Virtual Reality Telepresence and Traditional Simulation Methods: A Pilot Study,"Dang, B. K.; O'Leary-Kelley, C.; Palicte, J. S.; Badheka, S.; Vuppalapati, C.","Virtual reality (VR) could enable clinical simulation centers to reach the teaching capacity of traditional hospital practica. This study quantitatively tests VR telepresence against two traditional simulation learning methods using a within-subject design and the Presence Questionnaire. Eight nursing students were randomly assigned and rotated through simulation participation, VR observation, and television observation conditions, completing a questionnaire after each condition. Each condition had a significant effect on presence. Simulation participation yielded the highest perceived presence, followed by VR, and lastly by television observation. This pilot study probed for effect and feedback that will inform a larger experiment.",2020,1-Mar,Nursing education perspectives,41(2),,119-121,627907624,,,#1139,Dang 2020,,
"Simulation for skills training in neurosurgery: a systematic review, meta-analysis, and analysis of progressive scholarly acceptance","Davids, J.; Manivannan, S.; Darzi, A.; Giannarou, S.; Ashrafian, H.; Marcus, H. J.","At a time of significant global unrest and uncertainty surrounding how the delivery of clinical training will unfold over the coming years, we offer a systematic review, meta-analysis, and bibliometric analysis of global studies showing the crucial role simulation will play in training. Our aim was to determine the types of simulators in use, their effectiveness in improving clinical skills, and whether we have reached a point of global acceptance. A PRISMA-guided global systematic review of the neurosurgical simulators available, a meta-analysis of their effectiveness, and an extended analysis of their progressive scholarly acceptance on studies meeting our inclusion criteria of simulation in neurosurgical education were performed. Improvement in procedural knowledge and technical skills was evaluated. Of the identified 7405 studies, 56 studies met the inclusion criteria, collectively reporting 50 simulator types ranging from cadaveric, low-fidelity, and part-task to virtual reality (VR) simulators. In all, 32 studies were included in the meta-analysis, including 7 randomised controlled trials. A random effects, ratio of means effects measure quantified statistically significant improvement in procedural knowledge by 50.2% (ES 0.502; CI 0.355; 0.649, p < 0.001), technical skill including accuracy by 32.5% (ES 0.325; CI - 0.482; - 0.167, p < 0.001), and speed by 25% (ES - 0.25, CI - 0.399; - 0.107, p < 0.001). The initial number of VR studies (n = 91) was approximately double the number of refining studies (n = 45) indicating it is yet to reach progressive scholarly acceptance. There is strong evidence for a beneficial impact of adopting simulation in the improvement of procedural knowledge and technical skill. We show a growing trend towards the adoption of neurosurgical simulators, although we have not fully gained progressive scholarly acceptance for VR-based simulation technologies in neurosurgical education. Copyright © 2020, The Author(s).",2021,August,Neurosurgical Review,44(4),,1853-1867,2006719147,,,#1151,Davids 2021,,
The Effect of Force Feedback in a Virtual Learning Environment on the Performance and Satisfaction of Dental Students,"de Boer, I. R.; Lagerweij, M. D.; de Vries, M. W.; Wesselink, P. R.; Vervoorn, J. M.","INTRODUCTION: This study investigated the effect of force feedback (FFB) on student performance in a virtual learning environment (VLE) using the Simodont dental trainer (Moog, Nieuw-Vennep, the Netherlands) and evaluated the students' satisfaction with and without FFB. METHODS: The Simodont dental trainer, which was used as a VLE, was randomly assigned to 101 first-year dental students with no previous experience in cutting a tooth or working in a VLE with FFB. This study was designed as a crossover study. One half of the students practiced without FFB, whereas one half practiced with FFB. Both groups practiced four sessions lasting 45 minutes on a cross preparation. In the fifth session, test 1 was scheduled. After test 1, the same practicing and testing protocol was followed, although the environment was switched. After test 2, participants filled out a questionnaire. For the statistical analysis, only the questionnaires of the students who participated in both tests were processed. RESULTS: The results of test 1 and test 2 revealed that only students who used FFB were able to pass the tests. The questionnaire outcomes supported the results of both tests; 100% of the students preferred working with FFB. CONCLUSIONS: The results suggest that FFB is important for performance in a VLE and essential for satisfaction.",2017,1-Apr,Simulation in healthcare : journal of the Society for Simulation in Healthcare,12(2),,83-90,621890061,,,#1161,deBoer 2017,,
Teaching hip surgery to orthopaedic residents: what's new?,"De Boey, S.; Maes, M.; Mertens, P.","Purpose: The purpose of this study is to provide an overview of the published literature on the existing educational methods used to teach surgical skills, with a specific focus on hip surgery, to orthopaedic residents. Method(s): A total of 31 articles were selected from a PubMed literature search on the topic of teaching surgical skills to orthopaedic residents, and 9 articles on hip surgery are included in this review. Result(s): Although several methods are included in the published literature to teach orthopaedic residents, only arthroscopy of the knee and shoulder joint is well described. Hip arthroscopy has a steeper learning curve and thus the use of simulation training as a complementary teaching method is even more important. Conclusion(s): Currently, open surgery skills for joint arthroplasty are largely acquired by apprenticeship learning. Simulation training in the form of virtual reality could contribute to better performance of residents, decreasing operation time and improving patient safety. Copyright © The Author(s) 2020.",2020,1-Sep,HIP International,30(1_suppl),,42-47,2006129567,,,#1163,DeBoey 2020,,
Training through digitization: The case for virtual reauty simulation,"Denami, M.","These days, digitization is a topic of discussion in more and more sectors, everything from national education to the private sector, from business to the health sector. The digitization initiative is a choice that is often made to reduce the space and time constraints linked to a certain activity: for example, e-learning and MOOCS are helping to make training sessions more modular as well as independent of the location, available at any time of the day or week. The pharmaceutical industry has also undertaken various aspects of this digitization initiative. As such, this article is intended to present how LabQuest, the first clean room simulator, is contributing to this digitization initiative for the training needs of operators who must acquire skills related to production within an aseptic setting. To this end, we'll begin with an overview of the training that's currently available in pharmaceutical circles for the same topics, and then make an effort to identify the strengths and weaknesses of the different approaches. We'll then explain what was involved in the design initiative; we'll continue with a description of the validation procedure that helped to bring to light the greater efficiency of this simulation tool with regard to the development of production skills in a sterile area; finally, we'll compare the experiences of the people (operators and trainers) from pharmaceutical companies within which this training solution has been deployed. Copyright © 2017 Editions de Sante. All rights reserved.",2017,November-December,S.T.P,Pharma Pratiques. 27(6),,349-362,621542152,,,#1234,Denami 2017,,
Methodology to develop a virtual reality training for good practices in the preparation of anti-cancer drugs,"Descotes, G.; Moine, M.; Beau, F.; Noyer, V.; Nicoulaud, J. C.; Divanon, F.; Jourdan, N.; Bobay-Madic, A.; Rodier, S.","Objective: Describe the process for designing and creating SimUPAC 360degree, a virtual reality training in anti-cancer drug production units. Method(s): A multi-centre (a University Hospital, a General Hospital and a Cancer Control Centre), inter-professional (pharmacists, hospital pharmacy technicians and health executives) working group has been set up. It was based on videoconferencing and online document sharing. The work was divided into six phases: choice of target audience and training objectives, definition of the business model, development of the scenario, shooting and editing, creation of the training tool and finally tests, adjustments and validation of the tool. Result(s): After brainstorming, 77 errors were proposed. Three areas have been defined: covering area, storage and production area, and isolator. They contained 15 errors among the 77 proposed and 20 points of interest. The shooting was carried out over 2 days, in 2 hospitals. Assembly was carried out by a service provider specialist in real virtuality. Before to go online, the tool was tested and validated by experts. Discussion(s): The establishment of a multi-centric and interdisciplinary working group, the choice of target audience, pedagogical objectives and business model ensure the economic viability and scientific and technical robustness of the tool. The scenario development requires to define: activity areas and then, number, difficulty and typology of errors. Conclusion(s): Creation of a virtual reality training requires a consistent and structured methodology. This methodology will make it possible to develop other training scenarios. Copyright © 2020 Academie Nationale de Pharmacie",2020,July,Annales Pharmaceutiques Francaises,78(4),,324-334,2005459775,,,#1243,Descotes 2020,,
Clinical efficacy of simulated vitreoretinal surgery to prepare surgeons for the upcoming intervention in the operating room,"Deuchler, S.; Wagner, C.; Singh, P.; Muller, M.; Al-Dwairi, R.; Benjilali, R.; Schill, M.; Ackermann, H.; Bon, D.; Kohnen, T.; Schoene, B.; Koss, M.; Koch, F.","Purpose: To evaluate the efficacy of the virtual reality training simulator Eyesi to prepare surgeons for performing pars plana vitrectomies and its potential to predict the surgeons' performance. Method(s): In a preparation phase, four participating vitreoretinal surgeons performed repeated simulator training with predefined tasks. If a surgeon was assigned to perform a vitrectomy for the management of complex retinal detachment after a surgical break of at least 60 hours it was randomly decided whether a warmup training on the simulator was required (n = 9) or not (n = 12). Performance at the simulator was measured using the built-in scoring metrics. The surgical performance was determined by two blinded observers who analyzed the videorecorded interventions. One of them repeated the analysis to check for intra-observer consistency. The surgical performance of the interventions with and without simulator training was compared. In addition, for the surgeries with simulator training, the simulator performance was compared to the performance in the operating room. Result(s): Comparing each surgeon's performance with and without warmup trainingshowed a significant effect of warmup training onto the final outcome in the operating room. For the surgeries that were preceeded by the warmup procedure, the performance at the simulator was compared with the operating room performance. We found that there is a significant relation. The governing factor of low scores in the simulator were iatrogenic retinal holes, bleedings and lens damage. Surgeons who caused minor damage in the simulation also performed well in the operating room. Conclusion(s): Despite the large variation of conditions, the effect of a warmup training as well as a relation between the performance at the simulator and in the operating room was found with statistical significance. Simulator training is able to serve as a warmup to increase the average performance. Copyright © 2016 Deuchler et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2016,March,PLoS ONE,11(3) (no pagination),,,609059924,,,#1246,Deuchler 2016,,
Augmented reality in medical education: students' experiences and learning outcomes,"Dhar, P.; Rocks, T.; Samarasinghe, R. M.; Stephenson, G.; Smith, C.","Augmented reality (AR) is a relatively new technology that allows for digitally generated three-dimensional representations to be integrated with real environmental stimuli. AR can make use of smart phones, tablets, or other devices to achieve a highly stimulating learning environment and hands-on immersive experience. The use of AR in industry is becoming widespread with applications being developed for use not just for entertainment and gaming but also healthcare, retail and marketing, education, military, travel and tourism, automotive industry, manufacturing, architecture, and engineering. Due to the distinct learning advantages that AR offers, such as remote learning and interactive simulations, AR-based teaching programs are also increasingly being adopted within medical schools across the world. These advantages are further highlighted by the current COVID-19 pandemic, which has caused an even greater shift towards online learning. In this review, we investigate the use of AR in medical training/education and its effect on students' experiences and learning outcomes. This includes the main goals of AR-based learning, such as to simplify the delivery and enhance the comprehension of complex information. We also describe how AR can enhance the experiences of medical students, by improving knowledge and understanding, practical skills and social skills. These concepts are discussed within the context of specific AR medical training programs, such as HoloHuman, OculAR SIM, and HoloPatient. Finally, we discuss the challenges of AR in learning and teaching and propose future directions for the use of this technology in medical education.",2021,1-Dec,Medical education online,26(1),,1953953,635615140,,,#1256,Dhar 2021,,
Psychomotor skills development for Veress needle placement using a virtual reality and haptics-based simulator,"Di Vece, C.; Luciano, C.; De Momi, E.","Purpose: Veress needle (VN) insertion, if not correctly performed, could cause severe injuries to intra-abdominal organs and vessels. Therefore, cognitive and psychomotor skills training is needed. Virtual reality (VR) and haptic technologies have the potential to offer realistic simulations. Method(s): We developed a novel VR and haptic surgical simulator for VN insertion to teach trainees how to correctly puncture the abdominal wall, experiencing realistic tactile sensations throughout the simulation. The simulator allows for both procedural and realistic training. We released two different versions: the first using the OpenHaptics<sup>TM</sup> (OH) Toolkit and the second exploiting CHAI3D. We evaluated the learning effect using different performance indexes (time to perform the procedure, error in insertion angle, number of undesired contacts with organs) in an insertion task for both experienced urologists and students. Result(s): A general improvement of the chosen performance indexes was registered in the second repetition of the task for both groups. From the questionnaires, the simulator leveraging OH provides the trainee with a more precise haptic feedback, whereas the one exploiting CHAI3D allows them to perform the procedure more easily thanks to the better visualization of the virtual environment. The results proved that the participants appreciated both implementations, and the System Usability Scale (SUS) test resulted in a ""good"" usability. Conclusion(s): The haptics-based and VR simulator has shown the potential to be an important resource for the basic urological training in obtaining the pneumoperitoneum and improving the acquisition of the necessary psychomotor skills, allowing for extended and more effective training without compromising patient safety. Copyright © 2021, The Author(s).",2021,April,International Journal of Computer Assisted Radiology and Surgery,16(4),,639-647,2010769167,,,#1261,DiVece 2021,,
Augmented reality-assisted video laryngoscopy and simulated neonatal intubations: A pilot study,"Dias, P. L.; Greenberg, R. G.; Goldberg, R. N.; Fisher, K.; Tanaka, D. T.","BACKGROUND: For novice providers, achieving competency in neonatal intubation is becoming increasingly difficult, possibly because of fewer intubation opportunities. In the present study, we compared intubation outcomes on manikins using direct laryngoscopy (DL), indirect video laryngoscopy (IVL) using a modified disposable blade, and augmented reality-assisted video laryngoscopy (ARVL), a novel technique using smart glasses to project a magnified video of the airway into the intubator's visual field. METHOD(S): Neonatal intensive care nurses (n = 45) with minimal simulated intubation experience were randomly assigned (n = 15) to the following 3 groups: DL, IVL, and ARVL. All participants completed 5 intubation attempts on a manikin using their assigned modalities and received verbal coaching by a supervisor, who viewed the video while assisting the IVL and ARVL groups. The outcome and time of each attempt were recorded. RESULT(S): The DL group successfully intubated on 32% of attempts compared to 72% in the IVL group and 71% in the ARVL group (P,.001). The DL group intubated the esophagus on 27% of attempts, whereas there were no esophageal intubations in either the IVL or ARVL groups (P,.001). The median (interquartile range) time to intubate in the DL group was 35.6 (22.9-58.0) seconds, compared to 21.6 (13.9-31.9) seconds in the IVL group and 20.7 (13.2-36.5) seconds in the ARVL group (P,.001). CONCLUSION(S): Simulated intubation success of neonatal intensive care nurses was significantly improved by using either IVL or ARVL compared to DL. Future prospective studies are needed to explore the potential benefits of this technology when used in real patients. Copyright © 2021 by the American Academy of Pediatrics",2021,1-Mar,Pediatrics,147(3) (no pagination),,,2011486272,,,#1264,Dias 2021,,
Comparing surgical experience with performance on a sinus surgery simulator,"Diment, L. E.; Ruthenbeck, G. S.; Dharmawardana, N.; Carney, A. S.; Woods, C. M.; Ooi, E. H.; Reynolds, K. J.","BACKGROUND: This study evaluates whether surgical experience influences technical competence using the Flinders sinus surgery simulator, a virtual environment designed to teach nasal endoscopic surgical skills. METHODS: Ten experienced sinus surgeons (five consultants and five registrars) and 14 novices (seven resident medical officers and seven interns/medical students) completed three simulation tasks using haptic controllers. Task 1 required navigation of the sinuses and identification of six anatomical landmarks, Task 2 required removal of unhealthy tissue while preserving healthy tissue and Task 3 entailed backbiting within pre-set lines on the uncinate process and microdebriding tissue between the cuts. RESULTS: Novices were compared with experts on a range of measures, using Mann-Whitney U -tests. Novices took longer on all tasks (Task 1: 278%, P < 0.005; Task 2: 112%, P < 0.005; Task 3: 72%, P < 0.005). In Task 1, novices' instruments travelled further than experts' (379%, P < 0.005), and provided greater maximum force (12%, P < 0.05). In Tasks 2 and 3 novices performed more cutting movements to remove the tissue (Task 2: 1500%, P < 0.005; Task 3: 72%, P < 0.005). Experts also completed more of Task 3 (66%, P < 0.05). CONCLUSIONS: The study demonstrated the Flinders sinus simulator's construct validity, differentiating between experts and novices with respect to procedure time, instrument distance travelled and number of cutting motions to complete the task. Copyright © 2015 Royal Australasian College of Surgeons.",2016,1-Dec,ANZ journal of surgery,86(12),,990-995,614757630,,,#1274,Diment 2016,,
Re-defining the virtual reality dental simulator: Demonstrating concurrent validity of clinically relevant assessment and feedback,"Dixon, J.; Towers, A.; Martin, N.; Field, J.","INTRODUCTION: Virtual reality (VR) dental simulators are gaining momentum as a useful tool to educate dental students. To date, no VR dental simulator exercise has been designed which is capable of reliably providing validated, meaningful clinical feedback to dental students. This study aims to measure the concurrent validity of the assessment and the provision of qualitative feedback, pertaining to cavity preparations by VR dental simulators. METHOD(S): A cavity preparation exercise was created on a VR dental simulator, and assessment criteria for cavity preparations were developed. The exercise was performed 10 times in order to demonstrate a range of performances, and for each, the simulator feedback was recorded. The exercises were subsequently three-dimensionally printed, and 12 clinical teachers were asked to assess the preparations according to the same criteria. Inter-rater reliability (IRR) between clinical teachers was measured using a free-marginal multirater kappa value. Clinical teacher assessment responses were compared with the VR simulator responses and percentage agreements calculated. RESULT(S): IRR values for each exercise ranged from 0.39 to 0.77 (69.39%-88.48%). The assessment of smoothness (kappafree 0.58, 78.79%) and ability to follow the outline (kappafree 0.56, 77.88%) demonstrated highest agreement between clinical teachers, whilst the assessment of undercut (kappafree 0.15, 57.58%) and depth (kappafree 0.28, 64.09%) had the lowest agreement. The modal percentage agreement between clinical teachers and the VR simulator was, on average, 78% across all exercises. CONCLUSION(S): The results of this study demonstrate that it is possible to provide reliable and clinically relevant qualitative feedback via a VR dental simulator. Further research should look to employ this technique across a broader range of exercises that help to develop other complex operative dental skills. Copyright © 2020 The Authors. European Journal of Dental Education published by John Wiley & Sons Ltd.",2021,1-Feb,European journal of dental education : official journal of the Association for Dental Education in Europe,25(1),,108-116,632585633,,,#1284,Dixon 2021,,
"A Structured, Hybrid Cystoscopy Simulation Curriculum for Obstetrics/Gynecology Residents","Do, L.; Pasha, K.; Sanchez, S.; Montoya, T. I.; Maldonado, P. A.","OBJECTIVES: This study aimed to assess the subjective and objective cystoscopy skills of gynecology residents before and after implementation of a comprehensive simulation curriculum. METHOD(S): Residents in an obstetrics/gynecology program at a single academic institution participated in a 6-week cystoscopy simulation course. Residents attended an initial orientation and didactic presentation, and then weekly 20- to 30-minute training sessions using a water balloon model and a virtual reality simulator. Pretesting and posttesting were performed, including (1) subjective self-assessments, (2) a written quiz, and (3) objective structured assessment of technical skills. Paired t test was used to assess the differences in residents' objective assessment scores before and after simulation training. RESULT(S): A total of 16 residents were recruited. Residents reported significant subjective improvements in comfort, confidence, and proficiency in performing cystoscopy after completing the curriculum. Their overall objective assessment improved, including written quiz scores (mean score, 49% vs 78%; P < 0.001), efficiency in cystoscope assembly (means score, 0 vs 4; P < 0.001), overall bladder survey score (56% vs 86%, P < 0.001), and global rating score (mean score, 15 vs 24; P < 0.001). Residents tended to prefer the water-balloon model compared with the virtual reality simulator (75% vs 25%). CONCLUSION(S): Obstetrics/gynecology residents demonstrated significant improvements in subjective and objective measures of skill after completion of a 6-week cystoscopy simulation training course using a combination of low- and high-fidelity models. Although universal cystoscopy at the time of hysterectomy for benign indications remains controversial, cystoscopy simulation should remain an important part of resident training. Copyright © 2021 American Urogynecologic Society. All rights reserved.",2021,1-Oct,Female pelvic medicine & reconstructive surgery,27(10),,637-641,634015463,,,#1286,Do 2021,,
Online education in cytotechnology programs: A pilot study,"Donnelly, A. D.; Mukherjee, M. S.; Lyden, E. R.; Radio, S. J.","Introduction: The University of Nebraska Medical Center's cytotechnology program has received requests for an on-line program. The purpose of this study is to demonstrate that on-line education with virtual microscopy (VM) achieves similar screening and interpretation skills as traditional teaching methods using light microscopy (LM). Material(s) and Method(s): The pilot phase was conducted using the first two courses in the program. The students were divided into two groups; traditional and virtual. The virtual group replaced LM with VM, while the traditional group utilized traditional teaching methods. At the end of the two courses, the virtual group was shown how to use LM and was given glass slide examinations. Result(s): The mean of the female genital tract (FGT) screening quizzes and exams of the traditional group was 92.5; the mean for the virtual group was 86.8. For the respiratory tract (RT) course, the traditional group had a mean of 96 for their screening exams while the virtual group's was 85.3. The glass slide examinations (FGT Mean = 98, RT Mean = 95.3) given to the virtual group at the end of the pilot study demonstrated their ability to apply screening and interpretation skill learned from VM to LM. Conclusion(s): The study concludes that screening and interpretation skills of the traditional and virtual groups were similar. It appears possible to train students using VM as the sole method of teaching. The study will be extended to another cohort of students using the entire curriculum to further demonstrate the soundness of these results. Copyright © 2016 American Society of Cytopathology.",2016,1-Jul,Journal of the American Society of Cytopathology,5(4),,235-243,608510164,,,#1308,Donnelly 2016,,
Using 360degree Video to Enable Affective Learning in Nursing Education,"Donnelly, F.; McLiesh, P.; Bessell, S. A.","BACKGROUND: The affective domain describes learning associated with feelings, values, and emotions. Although this domain was first described in the late 1960s, a significant emphasis on skills and knowledge still remains. This prominence is evident despite global concerns about standards of practice and the place for empathy and care in nursing education. The emergence of newer technologies, such as 360degree video, provides an opportunity to revisit the design and delivery of affective learning. METHOD(S): Using the taxonomy of the affective domain, a 360degree video viewed through a virtual reality headset was developed to give nursing and medical students insight on the patient experience and an orientation to the operating room. RESULT(S): Careful planning and consideration of how the affective domain can inform design of learning and teaching materials resulted in an engaging and informative learning experience. Being aware of how each level of the domain informs the next is essential to develop effective affective teaching plans. CONCLUSION(S): Affective learning traditionally has been difficult to deliver and assess. Technology such as 360degree video provides an engaging, reproducible, and consistent platform for delivering a domain of education. [J Nurs Educ. 2020;59(7):409-412.]. Copyright 2020, SLACK Incorporated.",2020,1-Jul,The Journal of nursing education,59(7),,409-412,632224077,,,#1309,Donnelly 2020,,
